01_prenom	02_genre	03_langage	04_fréquence
bastian	m	german, english	0.22
bastien	m	french	2.29
basu	m	indian	0
basya	f	jewish	0
bathsheba	f	biblical	0
battista	m	italian	0.06
batya	f	jewish	0
batyah	f	jewish	0
baudouin	m	french	0.61
bautista	m	spanish	0
baylee	f	english (modern)	0
bea	f	english	0.13
bearach	m	irish	0
beáta	f	hungarian	0
beata	f	polish, german, scandinavian	0.03
beate	f	german	0.03
beathag	f	scottish	0
beathan	m	scottish	0
béatrice	f	french	7.90
beatrice	f	italian, english	0.10
beatriu	f	catalan	0
beatrix	f	english, german	0
beatriz	f	spanish, portuguese	0
beau	m	english	191.49
beaumont	m	english	4.01
beauregard	m	english	0.41
beavis	m		0
bébhinn	f	irish	0
bébhionn	f	irish	0
bébinn	f	irish	0
becca	f	english	0
becka	f	english	0
beckah	f	english	0
becky	f	english	0
bede	m	history	0.10
bedelia	f	irish	0
bedivere	m	welsh mythology	0
bedrich	m	czech	0
bedros	m	armenian	0
bedwyr	m	welsh, welsh mythology	0
bee	f	english	0.03
beelzebub	m	biblical	0
behnam	m	iranian	0
behram	m	iranian	0
behruz	m	iranian	0
béibhinn	f	irish	0
beileag	f	scottish	0
beitris	f	scottish	0
bekki	f	english (modern)	0
béla	m	hungarian	0.25
belenus	m	celtic mythology (latinized)	0
belgin	f	turkish	0
beli	m	welsh mythology	0
belinda	f	english	0.03
bella	f	italian	1.31
belle	f	english	162.38
bellona	f	roman mythology	0
belphoebe	f	literature	0
ben	m	english	42.56
benaiah	m	biblical	0
bence	m	hungarian	0
bendiks	m	latvian	0
bendt	m	danish	0
benedek	m	hungarian	0.06
benedetta	f	italian	0
benedetto	m	italian	0.32
benedict	m	english	0.73
benedicta	f	late roman	0
bénédicte	f	french	1.53
benedikt	m	german	0
benedikta	f	german, czech	0
benedikte	f	danish, norwegian	0
benedita	f	portuguese	0
benedito	m	portuguese	0
benesh	m	jewish	0
bengt	m	swedish	0
bengta	f	swedish	0
beniamino	m	italian	0
benigna	f	spanish, italian, portuguese	0
benigno	m	italian, spanish, portuguese	0
benita	f	spanish, english	0
benito	m	spanish, italian	0.22
benjamín	m	spanish	0
benjamin	m	english, french, german, hungarian, biblical	8.54
benjamine	f	french	0.13
benjy	m	english	0
bennett	m	english	0.29
bennie	m	english	0
benno	m	german	0
benny	m	english	0.06
benoit	m	french	0.51
benoite	f	french	0
benson	m	english	0.41
bent	m	danish	0.06
bente	f	danish	0
bentley	m	english	0.61
bento	m	portuguese	0
benton	m	english	0.03
benvenuto	m	italian	1.21
beowulf	m	anglo-saxon mythology	0
beppe	m	italian	0
ber	m	jewish	0.13
berach	m	irish	0
berenice	f	english, italian	0
bergliot	f	norwegian	0
bergljot	f	norwegian	0
berit	f	scandinavian	0.03
berjouhi	f	armenian	0
berk	m	turkish	0.51
berkant	m	turkish	0
berker	m	turkish	0
berlin	f		18.86
berna	f	turkish	0
bernadett	f	hungarian	0
bernadette	f	french	1.15
bernadine	f	english	0
bernard	m	english, french	19.62
bernardetta	f	italian	0
bernardine	f	english, french	0
bernardino	m	italian, spanish, portuguese	0.03
bernardo	m	italian, spanish, portuguese	0.06
bernát	m	hungarian	0
bernat	m	catalan	0
bernd	m	german	0.03
bernetta	f	english	0
bernhard	m	german	0.70
bernice	f	english, biblical	0
bernie	m	english	0
berniece	f	english	0
bernt	m	scandinavian	0
berry (1)	m	english	0
berry (2)	f	english	0
bert	m	english, dutch	1.27
berta	f	polish, czech, hungarian, german, spanish	0.03
bertalan	m	hungarian	0
bertha	f	german, english	0.45
berthe	f	french	6.69
berthold	m	german	3.54
bertie	m,f	english	0.03
bertina	f	english	0
bertók	m	hungarian	0
bertoldo	m	italian	0
bertram	m	english	0.57
bertrand	m	french, english	16.15
bertrando	m	italian	0
berwyn	m	welsh	0
beryl	f	english	0
bess	f	english	0.03
bessie	f	english	0.03
beth	f	english	0.03
bethan	f	welsh	0
bethania	f	spanish	0
bethany	f	english, biblical	0
bethel	f	biblical	0
bethney	f	english (modern)	0
bethuel	m	biblical	0
betrys	f	welsh	0
betsy	f	english	0
bette	f	english	0.25
bettie	f	english	0
bettina (1)	f	english	0
bettina (2)	f	italian	0
bettino	m	italian	0
betty	f	english	13.63
bettye	f	english (modern)	0
beulah	f	biblical, english	0.03
bevan	m	welsh	0.13
beverley	f	english	0
beverly	f	english	0.22
bevin	f	irish	0.48
bevis	m	english	0
beylke	f	jewish	0
bhaltair	m	scottish	0
bharat	m	indian, hindu mythology	0
bhaskar	m	indian	0
bhàtair	m	scottish	0
biaggio	m	spanish	0
biagino	m	italian	0
biagio	m	italian	0.10
bianca	f	italian	1.91
bibiana	f	italian, spanish	0
bice	f	italian	0
bich	f	vietnamese	0
biddy	f	irish, english	0
bidelia	f	irish, english	0
bienvenida	f	spanish	0
bijay	m	indian	0
bijoy	m	indian	0
bile	m	irish mythology	5.42
bilge	f	turkish	0.03
bilhah	f	biblical	0
bill	m	english	8.79
billie	m,f	english	0.13
billy	m	english	4.33
bindy	f	english	0
bine	f	danish	0
binh	m	vietnamese	0.03
bran (2)	m	welsh, welsh mythology	0
brand	m	english	0.06
branda	f	english	0
brande	f	english	0.06
branden	m	english	0
brandi	f	english	1.12
brandie	f	english	0.38
brandon	m	english	0.45
brandt	m	english	0.45
brandy	f	english	0.06
branimir	m	croatian, bulgarian	0
branislav	m	serbian, slovak, croatian, czech	0
branislava	f	serbian, slovak, croatian, czech	0
branka	f	croatian, serbian, slovene, czech	0
branko	m	croatian, serbian, slovene, czech	0
brannon	m		0
brant	m	english	0.06
branwen	f	welsh, welsh mythology	0
bras	m	portuguese	286.37
bratumil	m	polish	0
brava	f	esperanto	0.25
braxton	m	english	0
brayden	m	english	0
breana	f	english	0
breandán	m	irish	0
breann	f	english	0
breanna	f	english	0
breanne	f	english	0
breda	f	irish	0.06
breindel	f	jewish	0
brenda	f	english	0.73
brendan	m	irish, english	0.06
brenden	m	english	0
brendon	m	english	0
brenna	f		0
brennan	m	irish, english	0
brennus	m	ancient celtic (latinized)	0.10
brent	m	english	0.25
bret	m	english	0.38
brett	m	english	0.13
briallen	f	welsh	0
brian	m	irish, english	9.40
briana	f	english	0
brianna	f	english, irish	0
brianne	f	english	0
briar	m,f	english	0
brice	m	french	0.29
bríd	f	irish	0
bride	f	irish	6.12
bridger	m	english	0.06
bridget	f	irish, scottish, english, irish mythology	0
bridgette	f	english	0
bridie	f	english	0
brielle	f		0
brigham	m	english	0.06
brighid	f	irish, irish mythology	0
brigid	f	irish, irish mythology	0
brigida	f	italian, spanish	0.03
brigit	f	irish, scottish, english	0
brigitta	f	german, hungarian	0
brigitt
carola	f	english	0
carole	f	french	5.93
carolina	f	italian, spanish, portuguese, english	0.16
caroline	f	french, english	4.36
carolus	m	ancient germanic (latinized)	0.13
carolyn	f	english	0
caron	f	welsh	0.76
carpus	m	biblical, ancient greek (latinized)	0
carran	m		0
carreen	f	english	0
carrie	f	english	0
carrol	m	irish	0
carroll	m	irish	0.25
carry	f	english	0.25
carson	m,f	scottish, irish, english	0.25
carsten	m	german	0.03
carter	m	english	3.06
carwyn	m	welsh	0
cary	m,f	english	0.41
caryl	f	english	0
caryn	f	english	0
carys	f	welsh	0
casey	m,f	english	0.73
casimir	m	english	1.40
casimiro	m	spanish, portuguese, italian	0
caspar	m	dutch	0.03
casper	m	dutch	0.06
cass	f	english	0.32
cassandra	f	english, greek mythology (latinized)	0
cassarah	f	english	0
cassia	f	english, ancient roman	0
cassian	m	english	0
cassidy	f,m	english	0.89
cassie	f	english	0
cassiopea	f	greek mythology (latinized)	
cearra	f	english	0
cebrián	m	spanish	0
cecelia	f	english	0
cecil	m	english	0.61
cécile	f	french	5.51
cecília	f	portuguese	0
cecilia	f	english, italian, spanish, scandinavian	2.90
cecilija	f	slovene	0
cecilio	m	spanish, portuguese, italian	0
cecily	f	english	0
cedar	f	english	0
cedric	m	english	0
cees	m	dutch	0
ceinwen	f	welsh	0
celandine	f	english	0
céleste	f	french	12.49
celeste	f	english	0.03
célestin	m	french	0.99
celestina	f	spanish, italian	0.03
célestine	f	french	0.38
celestine	m	english	0
celestino	m	spanish, italian, portuguese	0.06
célia	f	portuguese	3.85
celia	f	english, italian	0
celina	f		0.03
céline	f	french	3.03
celino	m	italian, spanish	0
celio	m	italian, spanish, portuguese	0
celso	m	italian, spanish, portuguese	0
celyn	m	welsh	0
cenek	m	czech	0
cephalus	m	greek mythology (latinized)	0
cephas	m	biblical	0
cepheus	m	greek mythology (latinized)	0
cerberus	m	greek mythology (latinized)	0
ceren	f	turkish	0
ceres	f	roman mythology	0
ceri	m,f	welsh	0
ceridwen	f	welsh, welsh mythology	0
cerise	f	french	2.45
cernunnos	m	celtic mythology (latinized)	0
cerridwyn	f	welsh	0
cerys	f	welsh	0
cesaire	m	french	0
césar	m	french, spanish, portuguese	23.54
cesare	m	italian	0.16
cezar	m	portuguese, polish, romanian	0
chad	m	english	0
chadwick	m	english	0.48
chaim	m	jewish	0
chalchiuhticue	f	new world mythology	0
chalice	f	english	0
chanah	f	jewish	0
chance	f,m	english	76.36
chanda	f,m	indian	0
chandan	m	indian	0
chandana	m,f	indian	0
chander	m	indian	0
chandler	m	english	0.22
chandra	f,m	indian, hindu mythology	0.03
chandrakant	m	indian	0
chandrakanta	f	indian	0
chanel	f	english	1.31
chang	m	chinese	0.29
chania	f		0
channah	f	jewish	0
channing	m	english	0
chantal	f	french, english	4.71
chanté	f	french	4.68
chantel	f	english	0
chantelle	f	english	0
chao	m	chinese	0.13
chara	f	greek	0.06
charalampos	m	greek	0
charis	f	english	0
charissa	f	english	0
charita	f	english	0
charity	f	english	0.06
charla	f	english	0
charlene	f	english	0
charles	m	english, french	80.57
charley	f,m	english	0.10
charlie	m,f	english	14.97
charline	f	french	0
charlot	m	french	2.96
charlotta	f	scandinavian	0
charlotte	f	french, english	16.22
charlton	m	english	0.06
charmaine	f	english	0
charmian	f	english	0
charna	f	jewish	0
charnette	f	english (modern)	0.29
charo	f	spanish	0
chas	m	english	0.38
chase	m	english	0.25
chasity	f	english	0
chastity	f	english	0.03
chatzkel	m	jewish	0
chau	f	vietnamese	0.06
chauncey	m	english	0
chava	f	jewish	0
chaya	f	jewish	0
chayim	m	jewish	0
chaz	m	english	0
che	m	spanish	2.26
chelle	f	english	0
chelo	f	spanish	0
chelsea	f	english	0.41
chelsey	f	english	0
chelsie	f	english	0
chenaniah	m	biblical (variant)	0
chenda	f	khmer	0
cheng	m	chinese	0.03
cher	f	english	73.59
cherette	f	english	0
cheri	f	english	0
cherice	f	english (modern)	0
cherie	f	english	0
cherilyn	f	english	0
cherise	f	english	0
cherish	f	english	0
chernobog	m	slavic mythology	0
cherokee	f,m	english	0.03
cherry	f	english	0.25
cheryl	f	english	0
chesed	f	jewish	0
chesley	m	english	0
chester	m	english	0.22
chet	m	english	0.03
chetana	m	indian	0
chevonne	f	irish	0
cheyanne	f	english (modern)	0
cheyenne	f,m	english	0.10
chi	f	vietnamese	0.99
chiara	f	italian	0.03
chiarina	f	italian	0
chibuzo	m,f	african	0
chiela	f	esperanto	0
chika	f	japanese	0
chikako	f	japanese	0
chile	m	english	0
chin	m,f	chinese	0.06
china	f	english	3.60
chip	m	english	0
chita	f	spanish	0
chiumbo	m	african	0
chizoba	m,f	african	0
chloé	f	french	0.22
chloe	f	english, biblical, greek mythology	0
chloris	f	greek mythology	0
chonsie	f	english	0
chris	m,f	english	0.38
chrissie	f	english	0
chrissy	f	english	0
christ	m	theology	33.51
christa	f	german, danish, english	0.03
christabel	f	english	0
christabella	f	english	0
christabelle	f	english	0
christal	f	english (modern)	0
christelle	f	french	0
christen	f		0
christer	m	swedish, danish	0
christi	f	english	0.48
christiaan	m	dutch	0
christian	m	english, french, german	4.81
christiana	f	english	0.06
christiane	f	german, french	0.96
christianne	f	english, french	0
christie	f	english	0.48
christin	f	scandinavian, german	0
christina	f	english	0.16
christine	f	french, english	6.75
christmas	m	english	0.32
christobel	f	english	0
christoffer	m	scandinavian	0
christoph	m	german	0
christophe	m	french	13.86
christopher	m	english	0.13
christos	m	theology	0.32
christy	f	english	0.06
chrysanta	f	english	0
chrysanthe	f	greek, ancient greek	0
chrysanthos	m	greek, ancient greek	0
chryseis	f	greek mythology	0
chryssa	f	english	0
chrystal	f	english (modern)	0
chucho	m	spanish	0
chuck	m	english	0.35
chun	f,m	chinese	0.03
chus	m	spanish	0.06
chylan	m	?	0
chyna	f	english (modern)	0
cian	m	irish, irish mythology	0
cianán	m	irish	0
ciannait	f	irish	0
ciara	f	irish	0
ciaran	m	irish	0
cibor	m	polish	0
cicely	f	english	0
cicero	m	ancient roman	0.06
ciel	f	english	210.00
ciera	f		0
cierra	f		0
cili	f	hungarian	0
cilka	f	slovene	0
cilla	f		0.29
cillian	m	irish	0
cillín	m	irish	0
cináed	m	scottish	0
cinderella	f	literature	0
cindra	f	english (modern)	0
cindy	f	english	0
cinzia	f	italian	0
cionaodh	m	irish	0
ciprian	m	romanian	0
cipriano	m	italian	0.03
circe	f	greek mythology (latinized)	0.03
ciriaco	m	italian, spanish	0
ciril	m	slovene	0
cirillo	m	italian	0
cirino	m	italian, spanish	0
ciro	m	italian, spanish	0
cissy	f		0
citlali	f,m	native american	0
claire	f	french	49.67
clancy	m	irish, english	0
clara	f	english, italian, german, spanish, portuguese, romanian	18.67
clare	f	english	0.03
clarence	m	english	1.31
clarette	f		0
claribel	f	english	0
clarice	f	english, french	0
clarinda	f	english	0
clarissa	f	english, italian	0.06
clarisse	f	french	7.93
clarity	f	english	0
clark	m	english	1.85
claud	m	english	0.03
claude	m,f	french, english	38.71
claudette	f	french	0.03
claudia	f	english, german, italian, spanish, portuguese, romanian, ancient roman	0.51
claudine	f	french	4.17
claudio	m	italian, spanish, portuguese	0.10
claudiu	m	romanian	0
claudius	m	ancient roman, english	0.61
claus	m	german	0.10
clay	m	english	0.22
clayton	m	english	0.10
cledwyn	m	welsh	0
cleena	f	irish	0
cleisthenes	m	ancient greek (latinized)	0
clelia	f	italian	0
clem	m	english	0.03
clematis	f	english	0
clémence	f	french	2.68
clemency	f	english	0
clemens	m	german	0.10
clément	m	french	6.69
clement	m	english	0.10
clemente	m	italian, spanish	0.03
clementina	f	italian, spanish, portuguese	0
clementine	f	french	0
cleo	f	english	0
cleon	m	ancient greek (latinized)	0
cleopatra	f	ancient greek (latinized), english	0
cletes	m		0
cletis	m		0
cleto	m	italian, spanish, portuguese	0
cletus	m	ancient greek (latinized)	0
cleve	m	english	0
cleveland	m	english	0.35
cliff	m	english	0.03
clifford	m	english	1.40
clifton	m	english	0
clint	m	english	0.03
clinton	m	english	0.06
clio	f	greek mythology (latinized), italian	0.38
clíodhna	f	irish, irish mythology	0
clíona	f	irish	0
clitus	m	ancient greek (latinized), english	0
clive	m	english	0.06
clodagh	f	irish	0
clothilde	f	french	0
clotilda	f	english	0
clover	f	english	0
clovia	f		0
clovis	m	ancient germanic (latinized)	3.35
clyde	m,f	english	0.13
clytemnestra	f	greek mythology (latinized)	0
clytia	f	greek mythology (latinized)	0
cnaeus	m	ancient roman	0
cnut	m		0
coby	m		0
codie	m,f	english	0
cody	m	english, irish	0.06
coilean	m	irish	0
coinneach	m	scottish	0
cokkie	f	dutch	0
colbert	m	english	3.47
colby	m	english	0
cole	m	english	0.22
coleen	f	english	0
coleman	m	english, irish	0.19
colene	f	english	0
colette	f	french	3.79
colin	m	scottish, english	2.68
coline	f	english	0
colleen	f	english	0
collin	m	english	0.19
collyn	f	english	0
colm	m	irish	0.03
colmán	m	irish	0
colombain	m	french	0
colombe	m,f	french	3.89
colombina	f	italian	0
colten	m	english	0
colton	m	english	0
colum	m	irish	0
columba	m	late roman	0
columban	m	english	0
columbano	m	italian	0
columbine	f	english	0
columbo	m	italian	0
comfort	f	english	0.13
comgal	m	irish	0
comgan	m	irish	0
comhghall	m	irish	0
comhghán	m	irish	0
conall	m	irish, scottish, irish mythology	0
conan	m	irish	0.19
concepción	f	spanish	0
concepta	f	irish	0.03
concetta	f	italian	0
concetto	m	italian	0.03
concha	f	spanish	0.10
conchita	f	spanish	3.12
conchobhar	m	irish, irish mythology	0
concordia	f	english	0.03
confucius	m	history	0.70
conleth	m	irish	0
conn	m	irish	0
connell	m	english	0.22
conner	m		0
connie	f	english	0
connor	m	irish, english	0.16
conor	m	irish, english	0.03
conrad	m	english, german	0.61
conrado	m	spanish	0.06
consolata	f	italian	0
constance	f	english, french	6.85
constancia	f	portuguese	0.06
constant	m	english, french	17.97
constanta	f	romanian	0
constantia	f	late roman	0
constantijn	m	dutch	0
constantin	m	french, romanian	1.94
constantina	f	ancient roman	0
constantine	m	history	0.57
constanza	f	spanish	0
consuela	f	spanish	0
consuelo	f	spanish	0.32
consus	m	roman mythology	0.03
conway	m		0.45
cooper	m	english	2.36
coos	m	dutch	0
cora	f	english	0.29
coral	f	english	0.03
coralie	f	english	0.10
corbin	m	english	0.29
cordelia	f	english	0.29
cordell	m	english	1.02
cordula	f	english, german	0
coreen	f	english	0
corentin	m	breton, french	0.35
coretta	f	english	0
corey	m	english	0.03
coriander	f	english	0
corie	m	english	0
corin	m	french	0
corina	f	english, german, romanian	0
corine	f	english	0
corinna	f	english, german	0
corinne	f	french	0.99
cormac	m	irish	0
cormag	m	scottish	0
cornel	m	romanian	0
cornelia	f	english, italian, german, dutch, romanian, ancient roman	1.43
cornélio	m	portuguese	0
cornelis	m	dutch	0.03
corneliu	m	romanian	0
cornelius	m	ancient roman, english, german, biblical	0.13
cornell	m	english	0.19
corona	f	german	0.22
corrado	m	italian	0.03
corrie	f	english	0
corrine	f	english	0
cort	m		0.06
cortney	f,m	english	0
cory	m	english	0
corynn	f	english (modern)	0
cosette	f	french	0.10
cosima	f	italian	0.03
cosimo	m	italian	0.03
coskun	m	turkish	0
cosma	f		0
cosmin	m	romanian	0
cosmina	f	romanian	0
cosmo	m	italian, english, german	0.03
costantino	m	italian	0
costanzo	m	italian	0
costel	m	romanian	0
costica	m	romanian	0
coty	m	english	0.64
courtney	f,m	english	0
cowal	m	irish	0
cowessess	m	native american	0
craig	m	scottish, english	0.73
crawford	m	english	0.19
cree	m	english	0
creighton	m	english	0.03
crescentia	f	german, ancient roman	0
crescentius	m	ancient roman	0
crescenzo	m	italian	0
cressida	f	english	0.03
crina	f	romanian	0
crispian	m	english	0
crispin	m	english	0.13
cristal	f	english (modern)	17.52
cristen	f		0
cristi	m	romanian	0.03
cristián	m	spanish	0
cristian	m	romanian	0
cristiana	f	italian	0.03
cristiano	m	italian, portuguese	0.06
cristina	f	italian, spanish, portuguese, romanian	1.47
cristobal	m	spanish	0.13
cristoforo	m	italian	0
cristóvão	m	portuguese	0
crocetta	f	italian	0
crocifissa	f	italian	0
crofton	m	english	0
cronus	m	greek mythology (latinized)	0
cruz	f	spanish	0.76
cruzita	f	spanish	0
crystal	f	english	0.10
crystin	f	welsh	0
csaba	m	hungarian	0.03
csilla	f	hungarian	0
ctibor	m	czech	0
cuán	m	irish	0
cuauhtemoc	m	native american	0
cuc	f	vietnamese	0
cuchulainn	m	irish mythology	0
culhwch	m	welsh, welsh mythology	0
cullen	m	english	0.13
cunégonde	f	french	0
cunobelinus	m	ancient celtic (latinized)	0
cupid	m	roman mythology	0
curro	m	spanish	0.06
curt	m	german, english	0.10
curtis	m	english	0.41
cuthbert	m	english	0.03
cy	m	english	0.25
cyan	f	english	0
cybele	f	near eastern mythology	0
cybill	f	english	0
cymbeline	m	english	0.22
cymone	f	english	0
cyndi	f	english	0
cyneburga	f	anglo-saxon	0
cynefrið	m	anglo-saxon	0
cynthia	f	english, greek mythology (latinized)	0.16
cyprian	m		0.03
cyra	f		0
cyrano	m	literature	1.12
cyriaca	f	ancient roman	0
cyriacus	m	ancient roman	0
cyril	m	english	3.76
cyrilla	f	english	0
cyrille	m,f	french	1.15
cyrus	m	english, biblical	0.32
cystenian	m	welsh	0
czcibor	m	polish	0
czenzi	f	hungarian	0
czeslaw	m	polish	0
da	m	chinese	4.14
dacre	m	english	0
dada	f	african	2.71
daedalus	m	greek mythology	0
daffodil	f	english	0
dafne	f	italian	0
dafydd	m	welsh	0
dag	m	scandinavian	0.38
dagda	m	irish mythology	0
dagfinn	m	norwegian, danish	0
dagmar	f	scandinavian, german	0
dagny	f	scandinavian	0
dagrun	f	norwegian	0
dahlia	f	english	0.16
dai	m	welsh	0.19
dàibhidh	m	scottish	0
daichi	m	japanese	0
daina	f	lithuanian	0
dáire	m	irish	0
dáiríne	f	irish	0
daisy	f	english	11.05
daithí	m	irish	0
daividh	m	scottish	0
dakarai	f	african	0
dakota	m,f	english	0.25
dalal	f	arabic	0
dale	m,f	english	0.35
daley	m	irish, english	0
dalia	f	english	0
dalibor	m	czech, slovak, croatian, serbian, slovene	0
dallas	m	english	0.51
dalton	m	english	1.69
daly	m	irish, english	0.03
dalya	f	english	0
damaris	f	biblical	0
damayanti	f	indian	0
damhnait	f	irish	0
damian	m	english	0
damiana	f	italian	0
damiano	m	italian	0
damien	m	french	4.01
damion	m	english	0
damodar	m	indian	0.03
damon	m	greek mythology, english	0.03
dan (1)	m	biblical	0
dan (2)	m	english, romanian	0
dana (1)	f	polish, czech, romanian	0
dana (2)	m,f	english	0
danaë	f	greek mythology	0.03
danail	m	bulgarian	0
dand	m	scottish	0
dane	m	english	0.03
danette	f	english	0
dania	f		0
danica	f		0
dániel	m	hungarian	0
daniel	m	english, jewish, french, german, scandinavian, polish, czech, spanish, portuguese, romanian, biblical	10.99
daniela	f	polish, czech, romanian, italian	0
danièle	f	french	1.62
daniele	m	italian	0
daniella	f	english	0
danielle	f	french, english	0.86
daniil	m	russian	0
danika	f		0
danilo	m	italian, portuguese, spanish	0
danita	f		0
dannie	m	english	0
danny	m	english	0.06
dante	m	italian	5.13
danut	m	romanian	0
danuta	f	polish	0
danya	f		0
daphne	f	greek mythology, english	0
dara (1)	m	irish	0
dara (2)	f	jewish	0
dara (3)	f,m	khmer	0
darach	m	irish	0
darby	m,f	english	0.10
darcey	f	english	0.06
darcy	m,f	english	0.03
darden	m	english	0
dareia	f	greek	0
darell	m	english	0
daren	m	english	0
daria	f	italian, english, polish	0.10
darian	m,f	english	0
dariea	f	?	0
darien	m,f	english	0
darin	m	english	0
darina	f	irish	0
dario	m	italian	0.06
darius	m	english	0.89
darja	f	slovene	0
darla	f	english	0
darleen	f	english	0
darlene	f	english	0
darnell	m	english (modern)	0
darrel	m	english	0
darrell	m	english	0
darren	m	english	0
darrin	m	english	0
darryl	m	english	0.06
darwin	m	english	3.95
darya	f	russian	0
daryl	m	english	0
dassah	f	jewish	0
daud	m	indian	0
dave	m	english	0
davena	f		0
daveth	m	cornish	0
davey	m	english	0
dávid	m	hungarian	0
david	m	english, jewish, french, russian, czech, biblical	48.01
davida	f	english	0
davide	m	italian	0
davie	m	english	0.03
davin	m	english	0
davina	f	english	0
davinia	f		0
davis	m	english	1.12
davy	m	english	1.75
dawid	m	polish	0
dawn	f	english	0.06
dawson	m	english	0.16
dawud	m	arabic	0
dax	m	english	0.86
dayaram	m	indian	0
dayna	f	english	0
dayo	f	african	0
dayton	m	english	0.03
dazbog	m	slavic mythology	0
dazhdbog	m	slavic mythology	0
dean	m	english	0.45
deana	f	english	0
deandre	m	english	0
deangelo	m	english	0
deanna	f	english	0.06
deanne	f	english	0
dearbháil	f	irish	0
deasún	m	irish	0
deb	f	english	0.13
debbi	f	english	0
debbie	f	english	0.03
debby	f	english	0
debdan	m	indian	0
debora	f	english	0.03
deborah	f	english, jewish, biblical	2.39
debra	f	english	0
decebal	m	romanian	0
decima	f	ancient roman	0
decimus	m	ancient roman	0
declan	m	irish	0
dee	f,m	english	0.19
deeann	f	english (modern)	0
deemer	m	english	0
deena	f	english	0
deepak	m	indian	0
deepali	f	indian	0
deforest	m	english	0
deforrest	m	english	0
deidra	f	english	0
deidre	f	english	0
deimos	m	greek mythology	0
deiniol	m	welsh	0
deirbhile	f	irish	0
deirdre	f	english, irish	0
deitra	f	english	0
deja	f		0
delaiah	m	biblical	0
delaney	m,f	english	0.03
delbert	m	english	0
delfina	f	italian, spanish	0
delia	f	english	0
delice	f	english	0
delicia	f	english	0
delilah	f	biblical, english	0
dell	m	english	0.10
della	f	english	1.59
delma	f	irish, english	0
delmar	m	english	0
delora	f		0
delores	f	english	0
deloris	f	english	0
delphia	f		0
delphina	f		0
delphine	f	french	2.84
delphinia	f		0
delroy	m	english	0
delshad	m		0
delta	f	english	2.04
delwyn	m,f	welsh	0
delyth	f	welsh	0
dema	f	arabic	0
demelza	f	english	0
demeter (1)	f	greek mythology	0
demeter (2)	m	hungarian	0
demetria	f	ancient greek	0
demetrio	m	italian, spanish, portuguese	0
demetrios	m	greek, ancient greek	0.03
demetrius	m	ancient greek (latinized)	0
demi	f	greek	151.45
democritus	m	ancient greek (latinized)	0.03
demon	m	ancient greek	0
demosthenes	m	ancient greek	0
demostrate	f	ancient greek	0
demyan	m	russian	0
den	m	english	1.59
dena	f	english	0
dene	m	english	0
dénes	m	hungarian	0
denholm	m	english	0
denice	f	english	0
deniece	f	english (modern)	0
denis	m	french, russian, english	8.54
denisa	f	czech, slovak, romanian	0
denise	f	french, english	2.36
deniz	f,m	turkish	0
dennis	m	english, french	0.35
denny	m	english	0.03
denton	m	english	0.61
denver	m	english	0.19
denys	m	english	0.41
denzel	m	english	0
denzil	m	english	0
deo	m	indian	0.48
deodan	m	indian	0
deòiridh	f	scottish	0
deon	m	english	0.03
deonne	m	english	0
deòrsa	m	scottish	0
derby	m	english	0.25
derek	m	english	0
derick	m	english	0
dermid	m	scottish	0
dermot	m	irish	0
derren	m	english	0
derrick	m	english	0.06
derry	m		0.41
derval	f	irish	0.06
dervila	f	irish	0
dervla	f	irish	0
derya	f,m	turkish	0
deryck	m	english (modern)	0
deryn	f	welsh	0
desdemona	f	english	0.03
deshaun	m	english (modern)	0
deshawn	m	english (modern)	0
desi	m		0
desiderio	m	italian, spanish	0.03
désiré	m	french	8.16
désirée	f	french	2.77
desislav	m	bulgarian	0
desislava	f	bulgarian	0
desmond	m	english, irish	0.06
despina	f	greek	0.03
despoina	f	greek	0
desta	f		0
destinee	f	english (modern)	0
destiny	f	english	0
desya	m	russian	0
detlef	m	german	0
detta	m	english	0
dev	m	indian	0
devan	m		0
devdan	m	indian	0
devdas	m	indian	0
deven	m	english	0
devereux	m	english	0.10
devi	f	indian, hindu mythology	0.03
devika	f	indian	0
devin	m	english, irish	1.62
devnet	f	irish	0
devon	m,f	english	0.10
dewayne	m	english (modern)	0
dewey	m	welsh	0.41
dewi	m	welsh	0
dexter	m	english	0.32
dezi	m		0
dezirinda	f	esperanto	0
dezsõ	m	hungarian	0
dhananjay	m	indian	0
diamantina	f	portuguese	0
diamond	f	english	0.06
diana	f	english, spanish, italian, portuguese, romanian, russian, roman mythology	1.34
diane	f	french, english	8.82
diann	f	english (modern)	0
dianna	f	english	0
dianne	f	french, english	0
diarmad	m	scottish	0
diarmaid	m	irish, irish mythology	0
diarmuid	m	irish	0
dick	m	english	2.10
didi	m	german	1.21
didier	m	french	1.66
dido	f	roman mythology	0.03
diederick	m	german	0
diederik	m	dutch	0
diego	m	spanish	1.88
dierk	m	german	0
dieter	m	german	0
dietfried	m	german	0
diethelm	m	german	0.96
dietlinde	f	german	0
dietmar	m	german	0
dietrich	m	german	0.70
dieudonné	m	french	0.41
dieudonnée	f	french	0
digby	m	english	0.13
diggory	m	english	0
dijana	f	serbian, croatian, slovene	0
dikeledi	f	african	0
dilbert	m	literature	0
dilip	m	indian	0
dillon	m	english	0.25
dilshad	m		0
dilwen	f	welsh	0
dilwyn	m	welsh	0
dilys	f	welsh	0
dima (1)	f	arabic	0
dima (2)	m	russian	0
